rep_id,visit_count
REP_0207,49
REP_0208,32
REP_0209,82
REP_0210,54
REP_0211,45
REP_0212,49
REP_0213,62
REP_0214,67
REP_0215,65
REP_0216,61
REP_0217,70
REP_0218,66
REP_0219,76
REP_0220,44
REP_0221,93
REP_0222,59
REP_0223,48
REP_0224,80
REP_0225,60
REP_0226,81
REP_0227,37
REP_0228,50
REP_0229,76
REP_0230,104
REP_0231,78
REP_0232,51
REP_0233,45
REP_0234,58
REP_0235,91
REP_0236,60
REP_0237,100
REP_0238,87
REP_0239,40
REP_0240,41
REP_0241,47
REP_0242,79
REP_0243,43
REP_0244,55
REP_0245,38
REP_0246,63
REP_0247,73
REP_0248,44
REP_0249,78
REP_0250,69
REP_0251,36
REP_0252,86
REP_0253,76
REP_0254,46
REP_0255,86
REP_0256,63
REP_0257,44
REP_0258,42
REP_0259,37
REP_0260,67
REP_0261,39
REP_0262,58
REP_0263,66
REP_0264,62
REP_0265,72
REP_0266,35
REP_0267,88
REP_0268,37
REP_0269,61
REP_0270,32
REP_0271,84
REP_0272,53
REP_0273,27
REP_0274,113
REP_0275,58
REP_0276,52
REP_0277,50
REP_0278,33
REP_0279,72
REP_0280,58
REP_0281,30
REP_0282,54
REP_0283,66
REP_0284,29
REP_0285,96
REP_0286,85
REP_0287,60
REP_0288,96
REP_0289,55
REP_0290,80
REP_0291,86
REP_0292,30
REP_0293,55
REP_0294,71
REP_0295,36
REP_0296,65
REP_0297,50
REP_0298,84
REP_0299,41
REP_0300,61
REP_0301,69
REP_0302,113
REP_0303,51
REP_0304,69
REP_0305,89
REP_0306,51
REP_0307,39
REP_0308,48
REP_0309,41
REP_0310,42
REP_0311,31
REP_0312,60
REP_0313,59
REP_0314,37
REP_0315,35
REP_0316,34
REP_0317,58
REP_0318,34
REP_0319,35
REP_0320,43
REP_0321,69
REP_0322,53
REP_0323,65
REP_0324,75
REP_0325,64
REP_0326,84
REP_0327,51
REP_0328,71
REP_0329,48
REP_0330,29
REP_0331,90
REP_0332,34
REP_0333,44
REP_0334,53
REP_0335,80
REP_0336,47
REP_0337,37
REP_0338,47
REP_0339,45
REP_0340,80
REP_0341,93
REP_0342,36
REP_0343,73
REP_0344,40
REP_0345,22
REP_0346,90
REP_0347,45
REP_0348,64
REP_0349,55
REP_0350,70
REP_0351,56
REP_0352,94
REP_0353,45
REP_0354,61
REP_0355,79
REP_0356,124
REP_0357,79
REP_0358,63
REP_0359,88
REP_0360,90
REP_0361,79
REP_0362,39
REP_0363,54
REP_0364,70
REP_0365,80
REP_0366,41
REP_0367,33
REP_0368,46
REP_0369,81
REP_0370,46
REP_0371,45
REP_0372,38
REP_0373,38
REP_0374,5
REP_0375,61
REP_0376,50
REP_0377,38
REP_0378,67
REP_0379,84
REP_0380,66
REP_0381,59
REP_0382,44
REP_0383,44
REP_0384,49
REP_0385,34
REP_0386,53
REP_0387,21
REP_0388,82
REP_0389,73
REP_0390,51
REP_0391,92
REP_0392,62
REP_0393,86
REP_0394,96
REP_0395,55
REP_0396,54
REP_0397,87
REP_0398,24
REP_0399,70
REP_0400,55
REP_0401,61
REP_0402,45
REP_0403,66
REP_0404,43
REP_0405,53
REP_0406,55
REP_0407,59
REP_0408,72
REP_0409,68
REP_0410,43
REP_0411,48
REP_0412,74
REP_0413,66
REP_0414,65
REP_0415,51
REP_0416,85
REP_0417,52
REP_0418,51
REP_0419,55
REP_0420,28
REP_0421,93
REP_0422,45
REP_0423,61
REP_0424,93
REP_0425,65
REP_0426,70
REP_0427,49
REP_0428,88
REP_0429,104
REP_0430,53
REP_0431,77
REP_0432,36
REP_0433,67
REP_0434,8
REP_0435,32
REP_0436,72
REP_0437,45
REP_0438,10
REP_0439,87
REP_0440,62
REP_0441,19
REP_0442,61
REP_0443,33
REP_0444,52
REP_0445,77
REP_0446,57
REP_0447,44
REP_0448,44
REP_0449,62
REP_0450,60
REP_0451,70
REP_0452,58
REP_0453,50
REP_0454,48
REP_0455,71
REP_0456,28
REP_0457,36
REP_0458,93
REP_0459,53
REP_0460,82
REP_0461,94
REP_0462,42
REP_0463,52
REP_0464,33
REP_0465,81
REP_0466,77
REP_0467,54
REP_0468,83
REP_0469,84
REP_0470,62
REP_0471,31
REP_0472,100
REP_0473,52
REP_0474,67
REP_0475,45
REP_0476,65
REP_0477,81
REP_0478,122
REP_0479,40
REP_0480,71
REP_0481,46
REP_0482,55
REP_0483,51
REP_0484,69
REP_0485,77
REP_0486,50
REP_0487,38
REP_0488,58
REP_0489,67
REP_0490,31
REP_0491,37
REP_0492,79
REP_0493,38
REP_0494,25
REP_0495,52
REP_0496,73
REP_0497,52
REP_0498,41
REP_0499,57
REP_0500,25
